Gene	HPV_positive_rates	HPV_negative_rates
ADD2	5.5356e-07	5.123613e-06
ADD3	1.010212e-06	2.351154e-06
ADH1A	1.52254e-06	1.956683e-06
ADH1B	2.027171e-06	3.023901e-06
ADH1C	1.775171e-06	2.987484e-06
ADH4	7.775291e-07	7.533575e-07
ADH5	1.303422e-06	1.744881e-06
ADH6	3.399262e-06	2.279702e-06
ADH7	1.668295e-06	2.977776e-06
ADHFE1	8.580671e-07	1.706621e-06
ADI1	8.272592e-07	4.38634e-06
ADIG	9.080104e-07	1.667035e-06
ADIPOQ	1.036628e-06	1.987332e-06
ADIPOR1	1.527684e-06	0
ADIPOR2	1.097548e-06	2.053051e-06
ADK	3.208775e-07	7.649142e-07
ADM	1.091815e-06	1.431919e-06
ADM2	1.118803e-06	1.716897e-06
ADNP	9.908898e-07	4.884985e-07
ADNP2	1.703026e-06	1.236793e-06
ADO	5.827755e-07	2.098254e-06
ADORA1	7.014886e-07	1.824492e-06
ADORA2A	1.34319e-06	1.767293e-06
ADORA2B	1.445373e-06	1.381923e-06
ADORA3	1.850572e-06	2.182827e-06
ADPGK	1.720733e-06	1.140975e-06
ADPRH	9.340522e-07	2.423273e-06
ADPRHL1	1.178177e-06	1.847596e-06
ADPRHL2	8.203136e-07	1.50603e-06
ADRA1A	5.766424e-07	3.074239e-06
ADRA1B	1.3624e-06	1.213848e-06
ADRA1D	2.907739e-07	2.663737e-06
ADRA2A	5.633614e-07	7.326196e-07
ADRA2B	8.343714e-07	1.446737e-06
ADRA2C	1.030339e-06	4.041418e-06
ADRB1	1.677176e-06	2.09554e-06
ADRB2	6.28862e-07	1.683705e-06
ADRB3	5.979846e-07	1.05787e-06
ADRBK1	1.704199e-06	2.470982e-06
ADRBK2	1.655585e-06	2.761163e-06
ADRM1	7.723976e-07	1.41806e-06
ADSL	1.969258e-06	1.857914e-06
ADSS	6.24975e-07	8.444846e-07
ADSSL1	1.190761e-06	2.670796e-06
AEBP1	4.456429e-07	6.815456e-07
AEBP2	3.541595e-06	0
AEN	8.787348e-07	2.601695e-06
AES	1.764354e-06	2.268936e-06
AFAP1	1.097138e-06	2.402069e-06
AFAP1L1	8.516799e-07	1.399906e-06
AFAP1L2	2.011597e-06	1.538805e-06
AFF1	4.627833e-07	1.180354e-06
AFF2	7.962468e-07	3.310807e-06
AFF3	1.857371e-06	3.705598e-06
AFF4	1.328548e-06	9.162376e-07
AFG3L2	1.300032e-06	8.332322e-07
AFM	2.135055e-06	3.135833e-06
AFMID	2.086489e-06	1.687632e-06
AFP	1.987699e-06	3.209994e-06
AFTPH	2.969218e-07	2.843415e-07
AG2	1.94748e-06	1.926753e-06
AGA	2.995237e-06	1.404907e-06
AGAP1	1.57607e-06	2.766704e-06
AGAP11	1.77036e-06	0
AGAP2	1.37177e-06	7.739249e-07
AGAP3	1.281184e-06	1.472075e-06
AGAP4	2.343168e-06	1.354292e-06
AGAP5	2.298886e-06	1.907917e-06
AGAP6	1.928561e-06	1.927706e-06
AGAP7	6.113882e-07	9.093438e-07
AGAP8	6.113882e-07	9.093438e-07
AGBL1	2.959792e-06	1.781317e-06
AGBL2	1.431689e-06	1.003755e-06
AGBL3	1.923017e-06	7.92174e-07
AGBL4	2.009255e-06	3.524602e-06
AGBL5	8.730706e-07	2.029814e-06
AGER	2.608999e-06	2.249808e-06
AGFG1	3.387028e-07	1.222071e-06
AGFG2	1.482873e-06	1.328808e-06
AGGF1	2.763841e-07	1.674694e-06
AGK	5.973684e-07	1.577816e-06
AGL	1.616928e-06	1.802334e-06
AGMAT	1.896647e-06	1.485127e-06
AGPAT1	1.104189e-06	1.731569e-06
AGPAT2	1.580748e-06	1.410194e-06
AGPAT3	1.487301e-06	1.061887e-06
AGPAT4	2.183776e-06	1.819007e-06
AGPAT5	1.25618e-06	1.831567e-06
AGPAT6	2.471774e-06	0
AGPAT9	6.021461e-07	1.254126e-06
AGPHD1	1.230833e-06	1.741861e-06
AGPS	5.403711e-07	0
AGR2	9.982782e-07	1.298204e-06
AGR3	5.564505e-07	3.277629e-06
AGRN	0	2.584808e-06
AGRP	2.21505e-06	1.258726e-06
AGT	1.462733e-06	5.608672e-06
AGTPBP1	3.351029e-06	1.992842e-06
AGTR1	3.523514e-06	4.644331e-06
AGTR2	1.18521e-06	3.399925e-06
AGTRAP	1.416795e-06	2.806702e-06
AGXT	1.194904e-06	0
AGXT2	9.622224e-07	5.126693e-06
AGXT2L1	1.843024e-06	2.094638e-06
AGXT2L2	1.030691e-06	1.608427e-06
AHCTF1	2.076177e-06	2.012064e-06
AHCY	6.309839e-07	1.496313e-06
AHCYL1	1.525955e-06	1.609846e-06
AHCYL2	1.76954e-06	1.884407e-06
AHDC1	1.125126e-06	2.292116e-06
AHI1	9.435847e-07	1.382181e-06
AHNAK	8.909845e-07	2.507746e-06
AHNAK2	9.051183e-07	4.023811e-06
AHR	4.56738e-07	1.576543e-06
AHRR	1.532166e-06	1.593996e-06
AHSA1	2.100653e-06	1.660494e-06
AHSA2	2.101835e-06	3.00537e-06
AHSG	6.680946e-07	1.430996e-06
AHSP	2.381327e-06	3.117021e-06
AICDA	6.563153e-07	2.911944e-06
AIDA	1.215264e-06	2.119571e-06
AIF1	7.97598e-07	2.210112e-06
AIF1L	1.616258e-06	1.836913e-06
AIFM1	1.866764e-06	1.305611e-06
AIFM2	6.8535e-07	1.681892e-06
AIFM3	1.390287e-06	1.725883e-06
