gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
AGER	1319003	328363	0	1	0	0	50	59	26091408	2.261281e-06	6.070296e-07	7.581484e-07	0	NaN	0
AGFG1	1811334	511119	0	1	0	0	38	19	13803202	1.376492e-06	4.305792e-07	5.520793e-07	0	NaN	0
AGFG2	1450946	457744	0	0	1	0	50	37	29212778	1.266569e-06	5.239195e-07	0	2.184627e-06	NaN	2.184627e-06
AGGF1	2249009	565348	0	4	1	0	0	1	565348	1.768822e-06	1.776605e-06	1.778561e-06	1.768822e-06	NaN	1.768822e-06
AGK	1342488	359961	0	2	2	0	30	16	10201030	1.568469e-06	2.349556e-06	1.489771e-06	5.556157e-06	NaN	5.556157e-06
AGL	4900679	1248121	0	3	2	0	10	3	5070198	5.916929e-07	8.131668e-07	6.121601e-07	1.602409e-06	NaN	1.602409e-06
AGMAT	1044442	342881	0	1	0	0	9	8	5100088	1.568600e-06	7.208127e-07	9.574490e-07	0	NaN	0
AGPAT1	854854	267302	0	2	1	0	50	38	22417927	1.695072e-06	2.673425e-06	2.339581e-06	3.741087e-06	NaN	3.741087e-06
AGPAT2	837774	262605	0	2	0	0	50	35	27404006	1.277186e-06	1.817556e-06	2.387279e-06	0	NaN	0
AGPAT3	1158878	330925	0	3	0	0	50	20	24964982	8.011221e-07	2.013689e-06	2.588711e-06	0	NaN	0
AGPAT4	1178520	318969	0	2	1	0	50	43	25504283	1.685991e-06	2.003354e-06	1.697044e-06	3.135101e-06	NaN	3.135101e-06
AGPAT5	1139236	299327	0	0	1	0	4	5	2584631	1.934512e-06	6.951381e-07	0	3.340828e-06	NaN	3.340828e-06
AGPAT6	1429596	383019	0	0	0	0	0	0	383019	0	0	0	0	NaN	0
AGPAT9	1355298	372771	0	1	0	0	8	3	3019744	9.934617e-07	5.786806e-07	7.378451e-07	0	NaN	0
AGPHD1	1159732	304451	0	0	1	0	50	34	20111273	1.690594e-06	6.829747e-07	0	3.284601e-06	NaN	3.284601e-06
AGPS	2082479	549976	0	4	0	0	50	33	22904280	1.440779e-06	1.519494e-06	1.920788e-06	0	NaN	0
AGR2	568764	143472	0	0	0	0	50	28	24796317	1.129200e-06	0	0	0	NaN	0
AGR3	549122	128527	0	1	0	0	50	69	22242430	3.102179e-06	1.475690e-06	1.821089e-06	0	NaN	0
AGRN	6074502	1970178	0	4	5	0	14	17	8058344	2.109615e-06	1.118752e-06	6.584902e-07	2.537842e-06	NaN	2.537842e-06
AGRP	402234	126819	0	1	0	0	50	22	19556600	1.124940e-06	1.890170e-06	2.486115e-06	0	NaN	0
AGT	1431731	456463	0	4	2	0	50	58	22034054	2.632289e-06	3.177640e-06	2.793821e-06	4.381516e-06	NaN	4.381516e-06
AGTPBP1	3731126	958615	0	5	2	0	21	23	12827507	1.793022e-06	1.492620e-06	1.340078e-06	2.086343e-06	NaN	2.086343e-06
AGTR1	1077748	310856	0	11	1	0	50	104	22832117	4.554987e-06	8.641773e-06	1.020647e-05	3.216924e-06	NaN	3.216924e-06
AGTR2	1093120	310856	0	2	0	0	50	70	20885424	3.351620e-06	1.424526e-06	1.829625e-06	0	NaN	0
AGTRAP	679357	85400	0	1	1	0	1	1	337330	2.964456e-06	2.615210e-06	1.471980e-06	1.170960e-05	NaN	1.170960e-05
AGXT	1195173	366366	0	2	0	0	0	0	366366	0	1.280788e-06	1.673398e-06	0	NaN	0
AGXT2	1609790	435967	0	4	3	0	3	8	1846775	4.331876e-06	3.421716e-06	2.484796e-06	6.881255e-06	NaN	6.881255e-06
AGXT2L1	1587159	400953	0	5	2	0	50	45	23504215	1.914550e-06	3.520928e-06	3.150283e-06	4.988116e-06	NaN	4.988116e-06
AGXT2L2	1401841	392840	0	3	0	0	50	45	30020662	1.498968e-06	1.671606e-06	2.140043e-06	0	NaN	0
AHCTF1	6996395	1932175	0	11	3	0	47	39	21901257	1.780720e-06	1.568000e-06	1.572238e-06	1.552654e-06	NaN	1.552654e-06
AHCY	1339499	370636	0	1	1	0	50	25	19615099	1.274528e-06	1.169498e-06	7.465478e-07	2.698065e-06	NaN	2.698065e-06
AHCYL1	1681526	441091	0	0	0	0	8	8	3466813	2.307595e-06	0	0	0	NaN	0
AHCYL2	2035082	552538	0	5	0	0	46	48	26126422	1.837221e-06	1.932278e-06	2.456903e-06	0	NaN	0
AHDC1	4559506	1614914	0	12	2	0	18	15	12207503	1.228753e-06	2.267419e-06	2.631864e-06	1.238456e-06	NaN	1.238456e-06
AHI1	3862642	941108	0	8	0	0	7	4	3424967	1.167894e-06	1.665366e-06	2.071121e-06	0	NaN	0
AHNAK	17728613	5069344	0	55	19	0	4	20	5812324	3.440964e-06	3.245905e-06	3.102330e-06	3.748019e-06	NaN	3.748019e-06
AHNAK2	17033457	5271315	0	26	16	0	1	16	5411798	2.956504e-06	1.883005e-06	1.526408e-06	3.035296e-06	NaN	3.035296e-06
AHR	2629039	684908	0	4	0	0	19	13	6893061	1.885955e-06	1.207020e-06	1.521468e-06	0	NaN	0
AHRR	2195207	685762	0	2	3	0	50	31	20194965	1.535036e-06	1.735527e-06	9.110758e-07	4.374696e-06	NaN	4.374696e-06
AHSA1	1067073	276696	0	2	1	0	50	30	17675665	1.697249e-06	2.232527e-06	1.874286e-06	3.614075e-06	NaN	3.614075e-06
AHSA2	439383	111447	0	0	1	0	18	15	5670560	2.645241e-06	1.815442e-06	0	8.972875e-06	NaN	8.972875e-06
AHSG	1104649	342881	0	1	0	0	50	38	27788306	1.367482e-06	6.908320e-07	9.052649e-07	0	NaN	0
AHSP	319823	86254	0	0	0	0	50	71	23388498	3.035680e-06	0	0	0	NaN	0
AICDA	618296	169519	0	1	0	0	50	53	18858028	2.810474e-06	1.269334e-06	1.617348e-06	0	NaN	0
AIDA	987651	238266	0	1	0	0	50	55	25461156	2.160153e-06	8.157159e-07	1.012503e-06	0	NaN	0
AIF1	678076	177632	0	0	1	0	36	22	10281306	2.139806e-06	1.168623e-06	0	5.629616e-06	NaN	5.629616e-06
